小区名称,地址,均价(元/平),在售套数,建成年代,开发商,物业公司,物业费,容积率,绿化率,车位比,总户数,建筑类型,经度,纬度,POI数
万丽花园,新桥路,6346.0,11,2023,单位自建,业主自管,0.9,3.0,35.2,,1723,"[""高层""]",108.09738,34.267342,23
天元棠樾湖居,滨河东路,6300.0,14,2013,单位自建,陕西天元物业管理有限公司,0.9,1.79,30.0,,1346,"[""小高层"", ""高层""]",108.077149,34.242642,15
竹园,"神果路,近常青路",6129.0,4,2001,单位自建,业主自管,0.8,2.0,30.0,2300(1:9.3),246,"[""多层"", ""小高层"", ""高层""]",108.092268,34.259831,24
沁园春苑(新房),有邰路沁园春苑,6000.0,0,2026,杨凌广通房地产开发有限公司,杨凌广通物业服务有限公司,,,0.0,,,,108.06788626935699,34.25330010079557,18
杨凌绿地世界城,杨凌大道,5978.0,12,,暂无,暂无,,,,,,"[""高层""]",108.047447,34.265078,15
绿地城际空间站,"杨凌大道,近有邰路",5949.0,28,2021,单位自建,业主自管,0.9,2.5,30.0,,2940,"[""高层""]",108.054167,34.2511229,13
田园新都市,五胡路,5839.0,32,2003,单位自建,业主自管,0.9,2.5,30.0,,,"[""高层""]",108.09137,34.255067,23
万丽花园(新房),渭惠路与新桥路交汇处万达城市综合体,5700.0,0,2023,杨凌丽彩实业有限公司,陕西丽苑怡和物业管理有限公司,1.2,3.06,35.0,,,,108.09758378819416,34.26734262094505,22
杨凌·水木清华,示范区五胡路东段（恒大小学对面）,5680.0,0,2024,杨凌恒通置业有限公司,宝鸡五湖星诚物业服务有限公司,1.5,1.99,39.0,,,,108.10512966014964,34.253397941494256,13
公安局住宅区,公园路,5600.0,0,,暂无,暂无,,,,,,"[""多层""]",108.0827771,34.273847,25
杨凌水木清华,五湖路,5600.0,0,,暂无,暂无,,,,,238,"[""高层""]",108.104379,34.252529,14
高力·田园新都市,五胡路北侧接稼园西侧,5600.0,0,2020,陕西高力房地产开发有限公司,暂无,,2.5,30.0,,,,108.091404,34.255709,23
